City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Esperance,AU,58.06,scattered clouds,-33.8667,121.9,Hospitality Esperance
2,Mingguang,CN,68.58,overcast clouds,32.7802,117.9638,Yonghao Hotel
4,Debre Tabor,ET,74.66,overcast clouds,11.85,38.0167,Bahirdar
5,Castro,BR,68.27,clear sky,-24.7911,-50.0119,CHACARA BAILLY
6,Flinders,AU,60.39,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
10,Tuy Hoa,VN,79.65,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
11,Sola,VU,80.78,scattered clouds,-13.8833,167.55,Leumerus Bungalows
12,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
15,Half Moon Bay,US,58.03,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
16,Bredasdorp,ZA,64.04,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
19,Gornyy,RU,61.12,clear sky,55.1153,83.9059,Gostinyy Dvor
20,Pundaguitan,PH,79.66,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
26,Berndorf,AT,77.85,broken clouds,47.9457,16.1097,Hotel Kaiservilla
28,Kokkola,FI,56.03,light rain,63.8385,23.1307,Hotel Kokkola
29,Busselton,AU,56.14,clear sky,-33.65,115.3333,Observatory Guest House
30,Santa Maria Da Vitoria,BR,82.02,scattered clouds,-13.3947,-44.1886,Pousada Rio Current
34,Clarence Town,AU,59.81,clear sky,-32.5833,151.7833,River Downs Cottage
35,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Monrovia,LR,82.51,overcast clouds,6.3005,-10.7969,Sunset Inn
40,Rikitea,PF,76.91,light rain,-23.1203,-134.9692,People ThankYou
42,Marsa Matruh,EG,79,clear sky,31.3525,27.2453,Beau Site
43,Torbay,CA,57.27,few clouds,47.6666,-52.7314,Gallows Cove
44,Cidreira,BR,64.76,overcast clouds,-30.1811,-50.2056,Hotel Castelo
46,Tura,IN,73.8,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
47,Hermanus,ZA,66.79,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Nakamura,JP,64.11,light rain,32.9833,132.9333,Hotel Crown Hills Nakamura
54,Butaritari,KI,81.12,broken clouds,3.0707,172.7902,Isles Sunset Lodge
55,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
60,Ayagoz,KZ,68,overcast clouds,47.9714,80.4392,ХАН
61,Son Tay,VN,84.13,overcast clouds,21.1378,105.505,Khách Sạn Đông Thành
64,Ugoofaaru,MV,82.65,overcast clouds,5.6667,73,Ungoofaaru Inn
65,East London,ZA,65.34,scattered clouds,-33.0153,27.9116,Tu Casa
67,Cape Town,ZA,68.11,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
69,Hobart,AU,55.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
70,Pangody,RU,59.25,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
71,Chico,US,71.69,clear sky,39.7285,-121.8375,Quality Inn Near Chico State
72,Cairns,AU,70.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
73,Ribeira Grande,PT,66.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
74,Isangel,VU,74.55,clear sky,-19.55,169.2667,Tanna Lodge
77,Kieta,PG,78.51,light rain,-6.2167,155.6333,Uruna Bay Retreat
