City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,58.06,81,39,5.41,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,35.26,87,75,29.93,light snow
2,Mingguang,CN,32.7802,117.9638,68.58,74,100,1.12,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,39.31,75,0,19.57,clear sky
4,Debre Tabor,ET,11.85,38.0167,74.66,22,97,8.55,overcast clouds
5,Castro,BR,-24.7911,-50.0119,68.27,48,9,5.03,clear sky
6,Flinders,AU,-34.5833,150.8552,60.39,85,35,1.99,scattered clouds
7,Hami,CN,42.8,93.45,86.68,11,81,10.51,broken clouds
8,Iqaluit,CA,63.7506,-68.5145,11.93,72,75,3.44,broken clouds
9,Abu Dhabi,AE,24.4667,54.3667,96.82,36,0,20.71,clear sky
10,Tuy Hoa,VN,13.0833,109.3,79.65,79,83,4,broken clouds
11,Sola,VU,-13.8833,167.55,80.78,79,29,16.37,scattered clouds
12,Avarua,CK,-21.2078,-159.775,71.65,100,73,3.44,broken clouds
13,Gamba,GA,-2.65,10,79.77,70,91,6.91,overcast clouds
14,Aswan,EG,24.0934,32.907,105.1,7,0,10.36,clear sky
15,Half Moon Bay,US,37.4636,-122.4286,58.03,91,100,12.66,mist
16,Bredasdorp,ZA,-34.5322,20.0403,64.04,65,68,7.4,broken clouds
17,Nikolskoye,RU,59.7035,30.7861,53.49,96,100,3.22,light rain
18,Ust-Kuyga,RU,70.0167,135.6,21.92,92,13,6.67,few clouds
19,Gornyy,RU,55.1153,83.9059,61.12,54,6,11.1,clear sky
20,Pundaguitan,PH,6.3711,126.1689,79.66,82,100,7.99,overcast clouds
21,La Ronge,CA,55.1001,-105.2842,41.25,75,40,6.91,scattered clouds
22,Priiskovyy,RU,51.9333,116.6333,61.2,30,21,7.31,few clouds
23,Mataura,NZ,-46.1927,168.8643,37.47,97,4,1.81,clear sky
24,Airai,TL,-8.9266,125.4092,58.69,95,100,3.18,overcast clouds
25,Kaitangata,NZ,-46.2817,169.8464,38.55,91,3,4.81,clear sky
26,Berndorf,AT,47.9457,16.1097,77.85,36,75,11.5,broken clouds
27,New Norfolk,AU,-42.7826,147.0587,54.91,86,21,1.01,few clouds
28,Kokkola,FI,63.8385,23.1307,56.03,87,75,8.05,light rain
29,Busselton,AU,-33.65,115.3333,56.14,79,0,8.57,clear sky
30,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,82.02,41,48,10.07,scattered clouds
31,Sitka,US,57.0531,-135.33,42.69,81,40,0,scattered clouds
32,Barrow,US,71.2906,-156.7887,32.02,86,0,9.22,clear sky
33,Tiksi,RU,71.6872,128.8694,24.08,92,100,5.64,overcast clouds
34,Clarence Town,AU,-32.5833,151.7833,59.81,96,3,2.19,clear sky
35,Hilo,US,19.7297,-155.09,76.28,92,100,8.05,overcast clouds
36,Lebu,CL,-37.6167,-73.65,46.11,75,97,15.61,overcast clouds
37,Monrovia,LR,6.3005,-10.7969,82.51,72,100,9.1,overcast clouds
38,Codrington,AU,-38.2667,141.9667,51.67,88,13,3.94,few clouds
39,Clyde River,CA,70.4692,-68.5914,19.63,68,0,12.66,clear sky
40,Rikitea,PF,-23.1203,-134.9692,76.91,74,45,13.27,light rain
41,Husavik,IS,66.0449,-17.3389,40.93,94,100,14.29,overcast clouds
42,Marsa Matruh,EG,31.3525,27.2453,79,47,0,11.5,clear sky
43,Torbay,CA,47.6666,-52.7314,57.27,65,20,18.99,few clouds
44,Cidreira,BR,-30.1811,-50.2056,64.76,92,100,5.08,overcast clouds
45,Dikson,RU,73.5069,80.5464,29.75,85,100,4.68,overcast clouds
46,Tura,IN,25.5198,90.2201,73.8,82,20,4.14,few clouds
47,Hermanus,ZA,-34.4187,19.2345,66.79,72,23,8.5,few clouds
48,Paamiut,GL,61.994,-49.6678,30.81,97,100,10.27,light snow
49,Almaznyy,RU,48.0448,40.045,64.08,60,100,13.89,overcast clouds
50,Ahipara,NZ,-35.1667,173.1667,53.58,86,100,4.03,overcast clouds
51,Khatanga,RU,71.9667,102.5,30.78,79,34,7.27,scattered clouds
52,Severo-Kurilsk,RU,50.6789,156.125,39.2,92,56,5.97,broken clouds
53,Nakamura,JP,32.9833,132.9333,64.11,96,100,3.47,light rain
54,Butaritari,KI,3.0707,172.7902,81.12,71,81,12.77,broken clouds
55,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,47,2.89,scattered clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,72.55,91,75,11.3,broken clouds
57,Thompson,CA,55.7435,-97.8558,42.96,81,100,8.05,overcast clouds
58,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,20,20.71,few clouds
59,Pevek,RU,69.7008,170.3133,29.73,85,100,7.47,overcast clouds
60,Ayagoz,KZ,47.9714,80.4392,68,57,100,4.41,overcast clouds
61,Son Tay,VN,21.1378,105.505,84.13,90,89,6.6,overcast clouds
