City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Constitucion,CL,2022-05-22 03:00:07,-35.3333,-72.4167,53.26,68,100,4.05
1,Albany,US,2022-05-22 02:56:22,42.6001,-73.9662,76.78,84,48,2.95
2,Barrow,US,2022-05-22 03:00:08,71.2906,-156.7887,30.6,82,100,10.58
3,Atuona,PF,2022-05-22 03:00:09,-9.8,-139.0333,77.81,77,21,8.46
4,Kapaa,US,2022-05-22 02:55:24,22.0752,-159.319,80.58,83,26,3.0
5,Castro,BR,2022-05-22 03:00:10,-24.7911,-50.0119,44.71,80,2,1.95
6,Chachapoyas,PE,2022-05-22 03:00:11,-6.2317,-77.869,53.71,97,65,1.99
7,Pangnirtung,CA,2022-05-22 03:00:12,66.1451,-65.7125,30.02,82,100,9.01
8,Bluff,NZ,2022-05-22 03:00:13,-46.6,168.3333,48.92,62,71,24.18
9,Fukue,JP,2022-05-22 03:00:14,32.6881,128.8419,69.58,71,100,12.35
10,Qaqortoq,GL,2022-05-22 03:00:15,60.7167,-46.0333,38.08,83,100,6.42
11,Hermanus,ZA,2022-05-22 03:00:16,-34.4187,19.2345,56.21,79,24,6.98
12,Vaini,TO,2022-05-22 03:00:17,-21.2,-175.2,75.94,80,38,11.88
13,Kodiak,US,2022-05-22 03:00:19,57.79,-152.4072,44.35,97,100,24.61
14,Mataura,NZ,2022-05-22 02:55:31,-46.1927,168.8643,43.47,88,100,9.98
15,Uruguaiana,BR,2022-05-22 03:00:20,-29.7547,-57.0883,51.21,85,38,3.85
16,Bredasdorp,ZA,2022-05-22 03:00:20,-34.5322,20.0403,51.51,85,50,5.93
17,Yaqui,MX,2022-05-22 03:00:21,27.3667,-110.1667,76.98,45,26,5.32
18,Ponta Do Sol,PT,2022-05-22 03:00:21,32.6667,-17.1,66.83,80,92,3.29
19,Mundo Nuevo,MX,2022-05-22 03:00:22,18.7,-95.5,83.93,60,22,9.4
20,Bonavista,CA,2022-05-22 03:00:23,48.6499,-53.1147,46.76,68,82,12.91
21,Liepaja,LV,2022-05-22 03:00:23,56.5419,21.0367,49.98,93,100,5.75
22,Los Llanos De Aridane,ES,2022-05-22 02:59:16,28.6585,-17.9182,65.95,82,100,14.97
23,Klaksvik,FO,2022-05-22 03:00:24,62.2266,-6.589,47.32,91,100,14.03
24,Hilo,US,2022-05-22 03:00:24,19.7297,-155.09,86.29,87,55,3.0
25,Mon,IN,2022-05-22 03:00:25,26.75,95.1,77.7,70,38,3.04
26,Saskylakh,RU,2022-05-22 03:00:25,71.9167,114.0833,34.84,100,100,4.99
27,Ushuaia,AR,2022-05-22 03:00:26,-54.8,-68.3,34.2,90,11,5.55
28,East London,ZA,2022-05-22 03:00:26,-33.0153,27.9116,59.65,77,59,2.77
29,Hasaki,JP,2022-05-22 03:00:27,35.7333,140.8333,70.2,82,98,21.16
30,Mandera,KE,2022-05-22 03:00:27,3.9366,41.867,76.55,71,97,7.02
31,Naze,JP,2022-05-22 03:00:28,28.3667,129.4833,70.86,73,93,10.56
32,Westport,US,2022-05-22 02:59:17,41.1415,-73.3579,75.94,87,3,1.01
33,Tiksi,RU,2022-05-22 03:00:29,71.6872,128.8694,31.03,92,100,5.41
34,Hobart,AU,2022-05-22 02:56:37,-42.8794,147.3294,55.26,75,75,12.66
35,Pisco,PE,2022-05-22 03:00:30,-13.7,-76.2167,62.02,89,93,4.5
36,Ostrovnoy,RU,2022-05-22 03:00:30,68.0531,39.5131,30.88,70,59,9.26
37,Tuktoyaktuk,CA,2022-05-22 03:00:31,69.4541,-133.0374,30.2,71,14,10.2
38,Norman Wells,CA,2022-05-22 03:00:32,65.282,-126.8329,41.14,82,100,7.83
39,Rikitea,PF,2022-05-22 03:00:32,-23.1203,-134.9692,75.76,75,3,13.06
40,Torbay,CA,2022-05-22 03:00:33,47.6666,-52.7314,50.54,76,38,8.63
41,Lebu,CL,2022-05-22 03:00:33,-37.6167,-73.65,51.69,91,95,12.77
42,Caravelas,BR,2022-05-22 02:59:22,-17.7125,-39.2481,70.45,73,0,6.93
43,Saint-Philippe,RE,2022-05-22 03:00:34,-21.3585,55.7679,67.59,78,26,6.87
44,Narsaq,GL,2022-05-22 03:00:34,60.9167,-46.05,37.62,80,100,2.1
45,Chuy,UY,2022-05-22 03:00:34,-33.6971,-53.4616,50.88,90,100,5.91
46,Nikolskoye,RU,2022-05-22 03:01:35,59.7035,30.7861,42.69,70,0,5.53
47,Cochrane,CA,2022-05-22 03:01:35,51.1834,-114.4687,47.89,38,92,5.61
48,Clyde River,CA,2022-05-22 03:01:36,70.4692,-68.5914,19.63,93,100,9.22
49,Busselton,AU,2022-05-22 03:01:36,-33.65,115.3333,67.5,71,22,19.64
50,Coquimbo,CL,2022-05-22 03:01:37,-29.9533,-71.3436,58.28,82,88,1.48
51,Mar Del Plata,AR,2022-05-22 03:00:30,-38.0023,-57.5575,48.94,91,31,1.99
52,Cape Town,ZA,2022-05-22 03:01:37,-33.9258,18.4232,55.11,89,11,1.01
53,Karratha,AU,2022-05-22 03:01:38,-20.7377,116.8463,80.42,66,100,6.58
54,Flin Flon,CA,2022-05-22 03:01:38,54.7682,-101.865,45.37,41,59,2.66
55,Zeya,RU,2022-05-22 03:01:38,53.75,127.2667,61.63,37,100,5.39
56,Nova Vicosa,BR,2022-05-22 03:01:39,-17.8919,-39.3719,71.19,72,0,8.68
57,Cabo San Lucas,MX,2022-05-22 03:00:01,22.8909,-109.9124,74.61,68,1,5.99
58,Burnie,AU,2022-05-22 03:01:39,-41.0667,145.9167,57.94,60,17,3.24
59,Tsaratanana,MG,2022-05-22 03:01:40,-16.7833,47.65,67.35,80,31,9.51
60,Ilulissat,GL,2022-05-22 03:01:40,69.2167,-51.1,35.62,75,100,8.05
61,Komsomolskiy,UZ,2022-05-22 03:01:41,40.4272,71.7189,63.32,63,75,6.91
62,Tasiilaq,GL,2022-05-22 03:01:41,65.6145,-37.6368,32.16,71,70,2.51
63,Georgetown,MY,2022-05-22 03:00:18,5.4112,100.3354,87.73,74,20,3.44
64,Punta Arenas,CL,2022-05-22 03:01:42,-53.15,-70.9167,37.11,74,100,9.82
65,Rodrigues Alves,BR,2022-05-22 03:01:42,-7.738,-72.6509,74.03,80,80,2.42
66,Kirakira,SB,2022-05-22 03:01:43,-10.4544,161.9205,84.18,69,20,4.94
67,Batagay,RU,2022-05-22 03:01:43,67.6333,134.6333,52.93,46,97,2.42
68,Aklavik,CA,2022-05-22 03:01:43,68.2191,-135.0107,35.38,85,99,5.61
69,Ulladulla,AU,2022-05-22 03:01:44,-35.35,150.4667,61.77,77,100,9.71
70,Bethel,US,2022-05-22 02:59:21,41.3712,-73.414,75.02,82,2,3.76
71,Zhizdra,RU,2022-05-22 03:01:45,53.746,34.7395,45.57,95,100,13.27
72,Baiquan,CN,2022-05-22 03:01:45,47.5833,126.0833,73.29,27,64,1.48
73,Fallbrook,US,2022-05-22 03:01:46,33.3764,-117.2512,62.53,75,100,5.75
74,Santa Vitoria Do Palmar,BR,2022-05-22 03:01:46,-33.5189,-53.3681,51.87,88,100,5.61
75,Khatanga,RU,2022-05-22 03:01:46,71.9667,102.5,35.73,87,100,6.38
76,Foshan,CN,2022-05-22 03:01:47,23.0268,113.1315,77.95,64,100,9.98
77,Yulara,AU,2022-05-22 03:01:47,-25.2406,130.9889,68.16,31,51,8.72
78,Presque Isle,US,2022-05-22 03:01:48,46.6811,-68.0159,63.03,94,100,3.44
79,Wabash,US,2022-05-22 03:01:48,40.7978,-85.8205,65.71,84,96,8.01
80,Sao Joao Da Barra,BR,2022-05-22 03:01:48,-21.6403,-41.0511,65.07,83,15,4.76
81,New Norfolk,AU,2022-05-22 03:01:49,-42.7826,147.0587,55.92,56,98,2.06
82,Yellowknife,CA,2022-05-22 03:00:18,62.456,-114.3525,44.56,100,100,8.01
83,Upernavik,GL,2022-05-22 03:01:49,72.7868,-56.1549,28.44,86,100,2.75
84,Nanortalik,GL,2022-05-22 03:01:50,60.1432,-45.2371,38.77,86,100,5.61
85,Auki,SB,2022-05-22 03:01:50,-8.7676,160.7034,85.77,64,18,3.09
86,Cabra,ES,2022-05-22 03:01:51,37.4725,-4.4421,64.65,81,98,4.0
87,Jamestown,US,2022-05-22 02:56:52,42.097,-79.2353,65.01,95,100,6.91
88,Avarua,CK,2022-05-22 03:01:51,-21.2078,-159.775,77.49,78,96,12.59
89,Scarborough,GB,2022-05-22 03:01:46,54.2797,-0.4044,51.91,83,93,4.0
90,Thompson,CA,2022-05-22 03:00:20,55.7435,-97.8558,40.06,58,35,1.43
91,Sola,VU,2022-05-22 03:01:52,-13.8833,167.55,81.3,74,23,3.0
92,La Ronge,CA,2022-05-22 03:01:53,55.1001,-105.2842,45.88,41,96,5.68
93,Beringovskiy,RU,2022-05-22 03:02:53,63.05,179.3167,38.28,83,100,9.95
94,Soyo,AO,2022-05-22 03:02:54,-6.1349,12.3689,73.74,86,45,5.08
95,Umea,SE,2022-05-22 03:02:54,63.8284,20.2597,48.9,87,100,2.3
96,Lagoa,PT,2022-05-22 03:02:54,39.05,-27.9833,62.06,95,100,2.46
97,Portland,US,2022-05-22 03:02:55,45.5234,-122.6762,66.9,49,20,8.05
98,Temirtau,KZ,2022-05-22 03:02:55,50.0544,72.9483,49.24,68,91,16.33
99,Uribia,CO,2022-05-22 03:02:56,11.7139,-72.266,81.05,66,0,23.31
100,Juba,SS,2022-05-22 03:02:56,4.8517,31.5825,69.1,89,70,3.0
101,Gdynia,PL,2022-05-22 02:59:19,54.5189,18.5319,48.11,81,0,14.97
102,Katangli,RU,2022-05-22 03:02:57,51.7102,143.2326,40.23,93,99,8.48
103,Cajibio,CO,2022-05-22 03:02:57,2.6227,-76.5704,56.55,95,35,3.96
104,Kisangani,CD,2022-05-22 03:02:57,0.5167,25.2,68.95,94,100,0.81
105,Senneterre,CA,2022-05-22 03:02:58,48.3835,-77.2328,45.9,86,92,4.92
106,Jining,CN,2022-05-22 03:02:58,35.405,116.5814,90.73,21,100,11.41
107,Arlit,NE,2022-05-22 03:02:59,18.7369,7.3853,84.25,18,29,5.17
108,Saint-Augustin,CA,2022-05-22 03:02:59,51.226,-58.6502,46.0,88,100,16.75
109,Maku,IR,2022-05-22 03:03:00,39.2911,44.4521,53.38,46,0,3.15
110,Faya,SA,2022-05-22 03:03:00,18.3851,42.4509,67.39,13,43,6.26
111,Carnarvon,AU,2022-05-22 03:03:00,-24.8667,113.6333,75.92,57,22,22.08
112,Saint-Louis,SN,2022-05-22 03:03:01,16.3333,-15.0,71.2,66,89,12.82
113,Pevek,RU,2022-05-22 03:03:01,69.7008,170.3133,36.19,94,83,5.46
114,Esteli,NI,2022-05-22 03:03:02,13.0919,-86.3538,69.01,92,100,2.82
115,Sao Filipe,CV,2022-05-22 03:03:02,14.8961,-24.4956,71.37,81,48,5.28
116,Flinders,AU,2022-05-22 03:03:03,-34.5833,150.8552,61.88,80,78,7.81
117,Port Elizabeth,ZA,2022-05-22 03:03:03,-33.918,25.5701,50.09,84,0,4.41
118,Qaanaaq,GL,2022-05-22 03:03:03,77.484,-69.3632,12.74,89,99,5.1
119,Ust-Nera,RU,2022-05-22 03:03:04,64.5667,143.2,44.1,60,97,3.58
120,Clinton,US,2022-05-22 03:03:05,42.587,-82.9199,68.32,81,100,5.75
121,Takaka,NZ,2022-05-22 03:03:05,-40.85,172.8,59.56,62,41,11.61
122,Jawhar,SO,2022-05-22 03:03:05,2.7809,45.5005,74.01,93,98,8.08
123,Omagh,GB,2022-05-22 02:59:59,54.6,-7.3,53.01,93,100,9.08
124,Naryan-Mar,RU,2022-05-22 03:03:06,67.6713,53.087,27.21,76,97,17.54
125,Gladstone,AU,2022-05-22 03:03:07,-23.85,151.25,76.93,57,40,11.5
126,Marawi,PH,2022-05-22 03:03:07,7.9986,124.2928,80.96,69,81,1.99
127,Columbia,US,2022-05-22 03:01:38,34.0007,-81.0348,73.35,93,100,3.0
128,Yuci,CN,2022-05-22 03:03:08,37.6803,112.7319,76.75,27,0,2.24
129,Cidreira,BR,2022-05-22 03:03:09,-30.1811,-50.2056,56.68,79,94,5.3
130,Batemans Bay,AU,2022-05-22 03:03:09,-35.7167,150.1833,60.1,68,100,7.99
131,Kingston,JM,2022-05-22 03:03:09,17.997,-76.7936,81.55,81,20,12.66
132,Bintulu,MY,2022-05-22 03:03:10,3.1667,113.0333,86.27,64,100,1.66
133,Victoria,HK,2022-05-22 03:01:14,22.2855,114.1577,81.18,85,96,13.0
134,Talnakh,RU,2022-05-22 03:03:11,69.4865,88.3972,45.21,85,99,3.06
135,Churapcha,RU,2022-05-22 03:03:11,62.0025,132.4325,54.46,43,18,7.78
136,Omsukchan,RU,2022-05-22 03:04:12,62.5333,155.8,37.4,77,95,9.13
137,Marrakesh,MA,2022-05-22 03:02:13,31.6315,-8.0083,66.27,72,0,6.91
138,Bathsheba,BB,2022-05-22 03:04:12,13.2167,-59.5167,81.21,78,40,20.71
139,Anadyr,RU,2022-05-22 03:04:13,64.75,177.4833,38.25,82,94,4.43
140,Hithadhoo,MV,2022-05-22 03:04:13,-0.6,73.0833,83.1,69,100,9.98
141,Butaritari,KI,2022-05-22 03:04:14,3.0707,172.7902,81.23,79,86,11.07
142,Sigli,ID,2022-05-22 03:04:14,5.3848,95.9609,86.95,61,53,0.63
143,Trairi,BR,2022-05-22 03:03:04,-3.2778,-39.2689,73.72,93,5,5.5
144,Byron Bay,AU,2022-05-22 03:04:10,-28.65,153.6167,62.71,81,96,13.65
145,Bengkulu,ID,2022-05-22 03:04:15,-3.8004,102.2655,83.64,66,33,2.8
146,Olafsvik,IS,2022-05-22 03:04:16,64.8945,-23.7142,40.8,84,59,20.18
147,Souillac,MU,2022-05-22 03:04:16,-20.5167,57.5167,72.3,80,11,10.54
148,Longyearbyen,SJ,2022-05-22 03:03:47,78.2186,15.6401,35.44,75,75,6.91
149,Bambous Virieux,MU,2022-05-22 03:04:17,-20.3428,57.7575,70.21,76,19,12.15
150,Henties Bay,NA,2022-05-22 03:04:17,-22.116,14.2845,56.86,68,0,4.63
151,Cauquenes,CL,2022-05-22 03:04:18,-35.9671,-72.3225,51.48,66,100,1.21
152,Ancud,CL,2022-05-22 03:03:26,-41.8697,-73.8203,53.19,95,100,25.68
153,Korla,CN,2022-05-22 03:04:18,41.7597,86.1469,79.9,12,100,12.8
154,Mahebourg,MU,2022-05-22 03:04:19,-20.4081,57.7,70.25,76,13,12.12
155,Yelizovo,RU,2022-05-22 03:04:19,53.1873,158.3805,46.54,81,75,7.0
156,Nybro,SE,2022-05-22 03:04:20,56.7446,15.9071,43.88,95,80,4.74
157,Camana,PE,2022-05-22 03:04:20,-16.6228,-72.7111,64.76,88,100,7.61
158,Sayyan,YE,2022-05-22 03:03:31,15.1718,44.3244,61.25,17,11,4.27
159,Bandarbeyla,SO,2022-05-22 03:04:21,9.4942,50.8122,80.38,82,100,19.64
160,Tuatapere,NZ,2022-05-22 03:04:21,-46.1333,167.6833,46.49,72,83,16.24
161,Ulaangom,MN,2022-05-22 03:04:22,49.9811,92.0667,68.63,25,64,5.06
162,Santa Isabel Do Rio Negro,BR,2022-05-22 03:04:22,-0.4139,-65.0192,71.17,100,100,1.59
163,Fenoarivo,MG,2022-05-22 03:04:22,-18.933,47.4354,51.87,100,20,1.14
164,Ahipara,NZ,2022-05-22 03:04:23,-35.1667,173.1667,62.94,67,100,12.21
165,Narragansett,US,2022-05-22 03:04:23,41.4501,-71.4495,70.84,79,0,5.75
166,Puerto Ayora,EC,2022-05-22 03:04:24,-0.7393,-90.3518,71.44,88,74,6.6
167,Ivanovskaya,RU,2022-05-22 03:04:24,55.2833,39.1167,39.25,72,68,7.76
168,Saldanha,ZA,2022-05-22 03:04:25,-33.0117,17.9442,56.19,81,32,3.78
169,Kigali,RW,2022-05-22 03:00:18,-1.95,30.0588,62.08,93,20,3.44
170,Adrar,MR,2022-05-22 03:02:21,20.5022,-10.0711,87.75,10,0,6.11
171,Simplicio Mendes,BR,2022-05-22 03:04:25,-7.8539,-41.9103,70.57,78,11,6.98
172,Salima,MW,2022-05-22 03:04:26,-13.7804,34.4587,65.64,90,8,3.18
173,Praia Da Vitoria,PT,2022-05-22 03:04:26,38.7333,-27.0667,63.75,99,90,5.97
174,Sarangani,PH,2022-05-22 03:03:34,5.4033,125.4636,83.71,71,78,6.17
175,Chabahar,IR,2022-05-22 03:04:27,25.2919,60.643,84.69,72,0,6.38
176,Nhulunbuy,AU,2022-05-22 03:04:27,-12.2333,136.7667,88.41,58,40,16.11
177,Esmeraldas,BR,2022-05-22 03:01:45,-19.7625,-44.3139,52.2,73,0,4.36
178,Port Alfred,ZA,2022-05-22 03:04:28,-33.5906,26.891,57.22,80,4,5.84
179,Carlibaba,RO,2022-05-22 03:04:28,47.5833,25.1333,45.37,95,51,1.99
180,Sioux Lookout,CA,2022-05-22 03:00:18,50.1001,-91.917,32.34,92,98,3.76
181,Masvingo,ZW,2022-05-22 03:04:29,-20.0637,30.8277,58.57,93,89,2.55
182,Itoman,JP,2022-05-22 03:00:41,26.1247,127.6694,80.4,78,40,13.8
183,Belle Fourche,US,2022-05-22 03:04:30,44.6714,-103.8522,40.32,78,73,6.22
184,Bouca,CF,2022-05-22 03:05:30,6.5105,18.2733,71.01,88,100,1.07
